Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,cik,name,ticker,exchange,RIC_Suffix,Ticker
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,1090872,1999,1090872,"AGILENT TECHNOLOGIES, INC.",A,NYSE,.N,A.N
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193,1977,320193,Apple Inc.,AAPL,Nasdaq,.O,AAPL.O
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888),1551152,AbbVie Inc.,ABBV,NYSE,.N,ABBV.N
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,1559720,2008,1559720,"Airbnb, Inc.",ABNB,Nasdaq,.O,ABNB.O
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,1800,1888,1800,ABBOTT LABORATORIES,ABT,NYSE,.N,ABT.N
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373,1989,1467373,Accenture plc,ACN,NYSE,.N,ACN.N
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982,796343,ADOBE INC.,ADBE,Nasdaq,.O,ADBE.O
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,6281,1965,6281,ANALOG DEVICES INC,ADI,Nasdaq,.O,ADI.O
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902,7084,Archer-Daniels-Midland Co,ADM,NYSE,.N,ADM.N
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",1981-03-31,8670,1949,8670,AUTOMATIC DATA PROCESSING INC,ADP,Nasdaq,.O,ADP.O
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",1989-12-01,769397,1982,769397,"Autodesk, Inc.",ADSK,Nasdaq,.O,ADSK.O
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1002910,1902,1002910,AMEREN CORP,AEE,NYSE,.N,AEE.N
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,4904,1906,4904,AMERICAN ELECTRIC POWER CO INC,AEP,Nasdaq,.O,AEP.O
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761,1981,874761,AES CORP,AES,NYSE,.N,AES.N
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1086222,1998,1086222,AKAMAI TECHNOLOGIES INC,AKAM,Nasdaq,.O,AKAM.O
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,915913,1994,915913,ALBEMARLE CORP,ALB,NYSE,.N,ALB.N
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,915913,1994,915913,ALBEMARLE CORP,ALB-PA,NYSE,.N,ALB.N
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,1097149,1997,1097149,ALIGN TECHNOLOGY INC,ALGN,Nasdaq,.O,ALGN.O
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241,1908,1579241,Allegion plc,ALLE,NYSE,.N,ALLE.N
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",1995-03-16,6951,1967,6951,APPLIED MATERIALS INC /DE,AMAT,Nasdaq,.O,AMAT.O
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019-06-07,1748790,2019 (1860),1748790,Amcor plc,AMCR,NYSE,.N,AMCR.N
