Instrument,RIC,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,cik,name,ticker,exchange,RIC_Suffix,Ticker
A.N,A.N,,,,,,,,,,,,,
AAPL.O,AAPL.O,,,,,,,,,,,,,
ABBV.N,ABBV.N,,,,,,,,,,,,,
ABNB.O,ABNB.O,,,,,,,,,,,,,
ABT.N,ABT.N,,,,,,,,,,,,,
ACN.N,ACN.N,,,,,,,,,,,,,
ADBE.O,ADBE.O,,,,,,,,,,,,,
ADI.O,ADI.O,,,,,,,,,,,,,
ADM.N,ADM.N,,,,,,,,,,,,,
ADP.O,ADP.O,,,,,,,,,,,,,
ADSK.O,,,,,,,,,,,,,,
AEE.N,AEE.N,,,,,,,,,,,,,
AEP.O,AEP.O,,,,,,,,,,,,,
AES.N,AES.N,,,,,,,,,,,,,
AKAM.O,AKAM.O,,,,,,,,,,,,,
ALB.N,ALB.N,,,,,,,,,,,,,
ALB.N,ALB.N,,,,,,,,,,,,,
ALGN.O,ALGN.O,,,,,,,,,,,,,
ALLE.N,ALLE.N,,,,,,,,,,,,,
AMAT.O,AMAT.O,,,,,,,,,,,,,
AMCR.N,AMCR.N,,,,,,,,,,,,,
AMCR.PK,,,,,,,,,,,,,,
AMD.O,AMD.O,,,,,,,,,,,,,
AME.N,AME.N,,,,,,,,,,,,,
AMGN.O,AMGN.O,,,,,,,,,,,,,
AMT.N,AMT.N,,,,,,,,,,,,,
AMZN.O,AMZN.O,,,,,,,,,,,,,
ANET.N,ANET.N,,,,,,,,,,,,,
ANSS.O,,,,,,,,,,,,,,
AOS.N,AOS.N,,,,,,,,,,,,,
APA.O,APA.O,,,,,,,,,,,,,
APD.N,APD.N,,,,,,,,,,,,,
APH.N,APH.N,,,,,,,,,,,,,
APTV.N,APTV.N,,,,,,,,,,,,,
ARE.N,ARE.N,,,,,,,,,,,,,
ATO.N,ATO.N,,,,,,,,,,,,,
AVB.N,AVB.N,,,,,,,,,,,,,
AVGO.O,AVGO.O,,,,,,,,,,,,,
AVY.N,AVY.N,,,,,,,,,,,,,
AWK.N,AWK.N,,,,,,,,,,,,,
AXON.O,AXON.O,,,,,,,,,,,,,
AZO.N,AZO.N,,,,,,,,,,,,,
BA.N,BA.N,,,,,,,,,,,,,
BA.N,BA.N,,,,,,,,,,,,,
BALL.N,BALL.N,,,,,,,,,,,,,
BAX.N,BAX.N,,,,,,,,,,,,,
BBY.N,BBY.N,,,,,,,,,,,,,
BDX.N,BDX.N,,,,,,,,,,,,,
BF.B.N,,,,,,,,,,,,,,
BF.B.N,,,,,,,,,,,,,,
BG.N,BG.N,,,,,,,,,,,,,
BIIB.O,BIIB.O,,,,,,,,,,,,,
BKNG.O,BKNG.O,,,,,,,,,,,,,
BKR.O,,,,,,,,,,,,,,
BLDR.N,BLDR.N,,,,,,,,,,,,,
BMY.N,BMY.N,,,,,,,,,,,,,
BMY.PK,,,,,,,,,,,,,,
BMY.N,BMY.N,,,,,,,,,,,,,
BR.N,BR.N,,,,,,,,,,,,,
BSX.N,BSX.N,,,,,,,,,,,,,
BWA.N,,,,,,,,,,,,,,
BXP.N,BXP.N,,,,,,,,,,,,,
CAG.N,CAG.N,,,,,,,,,,,,,
CAH.N,CAH.N,,,,,,,,,,,,,
CARR.N,CARR.N,,,,,,,,,,,,,
CAT.N,CAT.N,,,,,,,,,,,,,
CBRE.N,CBRE.N,,,,,,,,,,,,,
CCI.N,CCI.N,,,,,,,,,,,,,
CCL.N,CCL.N,,,,,,,,,,,,,
CDNS.O,,,,,,,,,,,,,,
CDW.O,CDW.O,,,,,,,,,,,,,
CE.N,CE.N,,,,,,,,,,,,,
CEG.O,CEG.O,,,,,,,,,,,,,
CF.N,CF.N,,,,,,,,,,,,,
CHD.N,CHD.N,,,,,,,,,,,,,
CHRW.O,CHRW.O,,,,,,,,,,,,,
CHTR.O,CHTR.O,,,,,,,,,,,,,
CI.N,CI.N,,,,,,,,,,,,,
CL.N,CL.N,,,,,,,,,,,,,
CLX.N,CLX.N,,,,,,,,,,,,,
CMCSA.O,CMCSA.O,,,,,,,,,,,,,
CMCSA.N,CMCSA.N,,,,,,,,,,,,,
CMG.N,CMG.N,,,,,,,,,,,,,
CMI.N,CMI.N,,,,,,,,,,,,,
CMS.N,CMS.N,,,,,,,,,,,,,
CMS.N,CMS.N,,,,,,,,,,,,,
